Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Dennis Smith Jr.,,,PG,5400,DAL,@BOS,1,104,24,12,102,103,-4%,8,8,11,22,26,28,22.0,24.5,14.7,34.2,28.0,22.7,4.2,30.9,22.9,4.2
Marcus Morris,,O,PF,5400,BOS,DAL,1,109,21,17,103,106,-3%,11,12,11,26,30,27,28.7,25.9,17.3,34.4,0.0,0.0,0.0,0,0.0,0.0
Dennis Schroder,1,,SG,5300,OKC,@POR,1,111,26,13,102,107,-3%,14,15,15,28,33,30,27.1,28.0,17.7,38.4,29.0,27.0,5.1,28.5,20.1,3.8
Evan Fournier,1,,SG,5300,ORL,@MIN,1,105,24,12,103,108,9%,8,10,13,28,31,31,20.8,25.5,15.1,35.8,30.5,25.4,4.8,30,28.4,5.4
Justin Holiday,1,,SG,5200,CHI,IND,1,97,15,11,101,101,-3%,9,9,10,33,34,35,20.0,26.4,17.5,35.4,0.0,0.0,0.0,,0.0,0.0
Jordan Clarkson,1,,SG,5200,CLE,UTA,1,100,28,18,102,104,3%,12,13,15,27,29,27,25.8,25.2,17.2,33.2,27.0,24.5,4.7,19.1,15.5,3.0
Dwyane Wade,,,SG,5100,MIA,WAS,1,109,28,15,104,110,-3%,13,12,13,26,25,26,26.6,25.9,15.9,35.9,21.5,22.2,4.4,25.2,29.6,5.8
Terrence Ross,,,SG,5100,ORL,@MIN,1,105,22,14,103,108,4%,12,12,12,22,26,26,22.6,21.8,13.9,29.7,27.5,22.0,4.3,23.5,16.9,3.3
Kevin Huerter,2,,SG,5000,ATL,@MIL,1,108,15,9,105,102,3%,15,12,8,42,34,27,20.4,17.9,10.0,25.8,35.5,24.6,4.9,33.5,13.9,2.8
James Johnson,,,PF,5000,MIA,WAS,1,109,19,12,104,110,7%,9,8,8,23,24,21,24.9,18.3,10.4,26.2,21.5,19.9,4.0,27.5,19.8,4.0
Cedi Osman,,,SF,4900,CLE,UTA,1,100,18,9,102,104,-3%,9,10,11,33,32,33,22.4,22.3,15.0,29.5,31.5,22.2,4.5,30.6,13.6,2.8
Maurice Harkless,3,,SF,4900,POR,OKC,2,112,12,11,106,100,7%,9,9,5,35,31,22,26.8,17.0,7.3,26.8,28.0,23.2,4.7,24.1,28.1,5.7
D.J. Augustin,1,,PG,4900,ORL,@MIN,1,105,18,16,103,108,-6%,9,10,8,32,30,28,29.9,21.5,12.4,30.6,31.5,23.8,4.9,31.4,21.6,4.4
Joe Harris,0,,SF,4900,BKN,@MEM,1,100,17,15,97,104,-2%,12,10,10,25,31,30,22.3,22.1,15.0,29.2,30.0,20.6,4.2,29,31.0,6.3
Otto Porter,,,SF,4900,WAS,@MIA,1,103,16,15,102,104,-2%,9,11,10,22,31,30,30.1,27.0,15.9,38.2,20.0,18.5,3.8,21.3,30.7,6.3
Tyler Johnson,,,PG,4900,MIA,WAS,1,109,20,14,104,110,-3%,8,10,10,26,27,27,27.8,22.6,14.3,31.0,21.0,17.6,3.6,24,23.1,4.7
Marcus Smart,1,,SG,4800,BOS,DAL,1,109,15,13,103,106,4%,4,6,6,25,28,26,19.6,22.0,13.8,30.1,29.5,26.5,5.5,32,28.3,5.9
Jae Crowder,,,SF,4800,UTA,@CLE,2,109,18,14,99,113,-2%,10,9,10,22,24,27,19.3,22.6,13.7,31.6,25.0,19.9,4.1,24.4,28.0,5.8
Wesley Matthews,,,SG,4800,DAL,@BOS,1,104,19,12,102,103,-6%,8,10,11,25,30,31,20.7,22.4,15.6,29.3,30.0,20.8,4.3,30.1,17.6,3.7
Robert Williams,,O,C,4600,BOS,DAL,1,109,,,103,106,-3%,2,2,2,10,14,10,16.7,12.1,1.0,23.1,0.0,0.0,0.0,0,0.0,0.0
Taj Gibson,1,,PF,4600,MIN,ORL,1,109,16,17,100,107,-5%,7,7,8,29,28,26,20.6,23.6,15.3,31.9,26.5,22.9,5.0,22.4,28.5,6.2
